date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Mar 22,home,Cerro Coso,W,11-1,11,1,10,win,20160322_vv3j,5,1,1,,,,0,,1,,,,,,1,0,,,3,,5,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Mar 24,home,Cerro Coso,W,22-5,22,5,17,win,20160324_o07k,4,3,2,2,,,0,,1,,,1,,,4,2,,,1,,5,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Mar 26,home,Cerro Coso,W,18-4,18,4,14,win,20160326_fsrp,3,2,1,,,,0,2,1,,,,,,1,0,,,1,,5,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Mar 29,home,Rio Hondo,W,5-4,5,4,1,win,20160329_wlhx,6,1,3,,,,0,,1,,,,,,3,0,,,1,,6,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Mar 31,home,Rio Hondo,L,16-6,16,6,10,win,20160331_lheu,3,0,0,,,,0,1,1,,,1,,,0,0,,,2,,5,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Apr 2,home,Rio Hondo,L,3-2,3,2,1,win,20160402_l57o,4,0,0,,,,0,,2,,,,,,0,0,,,2,,4,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Apr 5,home,Victor Valley,W,16-4,16,4,12,win,20160405_qd9b,6,1,2,2,,,1,,,,,,,,4,2,,1,,,6,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Apr 7,home,Victor Valley,W,4-1,4,1,3,win,20160407_7g3j,4,2,2,,,1,1,,,,,,,,5,1,,,2,,4,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Apr 9,home,Victor Valley,W,8-1,8,1,7,win,20160409_n4q2,3,2,1,,,,0,2,1,,,,,,1,0,,,1,,5,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Apr 19,home,Barstow,L,10-8,10,8,2,win,20160419_kjb3,5,2,2,,,1,1,,1,,,,,,5,1,,1,1,1.00,5,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Apr 21,home,Barstow,W,13-7,13,7,6,win,20160421_uc8r,5,1,2,2,,,5,,,,,,,,4,2,1,1,2,0.50,5,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Apr 23,home,Barstow,L,9-6,9,6,3,win,20160423_j5gh,4,1,1,1,,,0,,1,,,,,,2,1,,1,1,1.00,4,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Apr 26,home,Chaffey,L,5-3,5,3,2,win,20160426_q4fl,4,2,1,,,,0,1,1,,,,,,1,0,,,2,,5,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Apr 28,home,Chaffey,L,3-2,3,2,1,win,20160428_ovo8,4,0,0,,,,0,,2,,,,,,0,0,,2,,,4,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
Apr 29,home,Chaffey,L,8-2,8,2,6,win,20160429_c4vp,2,0,1,,,,0,,,,,,,,1,0,,,1,,2,2016,,San Bernardino,sanbernardino,anthonyaguila8hjm,Anthony Aguila
