date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Monterey Peninsula,L,6-3,6,3,3,win,20230127_ikr9,4,0,1,1,,,0,,1,,,,,,2,1,,2,,,4,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Jan 29,home,Feather River,W,7-6,7,6,1,win,20230129_fuap,4,2,2,,,,1,1,2,,,1,,,2,0,,,,,6,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 2,home,Mission,W,3-0,3,0,3,win,20230202_omon,4,0,1,,,,0,1,2,,,,,,1,0,,,1,,5,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 3,home,Feather River,W,2-1,2,1,1,win,20230203_f9zv,3,0,0,,,,0,1,1,,,,,,0,0,,,2,,4,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 4,home,San Mateo,L,5-3,5,3,2,win,20230204_bmzr,4,1,2,,,,1,,,1,,,,,2,0,,2,,,4,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 7,home,San Mateo,L,7-2,7,2,5,win,20230207_l6if,4,0,2,,,,0,,1,,,,,,2,0,,,1,,4,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 9,home,Rio Hondo,W,10-5,10,5,5,win,20230209_u6tn,5,1,2,,,,1,,2,,,,,,2,0,,,,,5,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 10,home,Cypress,L,13-2,13,2,11,win,20230210_brje,3,0,0,,,,0,,2,,,,,,0,0,,,1,,3,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 11,home,Pasadena City,W,12-8,12,8,4,win,20230211_pxzw,5,2,3,2,,1,8,,,,,1,,,8,3,,1,1,1.00,6,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 16,home,Cosumnes River,W,4-3,4,3,1,win,20230216_gp6t,3,0,1,1,,,1,2,,,,,,,2,1,,1,1,1.00,5,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 18,home,Cosumnes River,L,24-15,24,15,9,win,20230218_ggik,2,2,1,,,,2,3,1,,,,,,1,0,,,,,5,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 21,home,Reedley,W,10-2,10,2,8,win,20230221_s0ox,3,1,1,,1,,1,1,,,,1,,,3,1,,2,,,5,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 22,home,Reedley,L,4-2,4,2,2,win,20230222_gz5q,4,0,1,,,,1,,,,,,,,1,0,,3,,,4,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Feb 23,home,Reedley,L,13-1,13,1,12,win,20230223_61u4,4,0,1,1,,,0,,1,,,,,,2,1,,2,,,4,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Mar 2,home,Sequoias,L,4-3,4,3,1,win,20230302_ddxe,4,0,0,,,,0,,2,,,,,,0,0,,1,1,1.00,4,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Mar 3,home,Sequoias,W,10-8,10,8,2,win,20230303_nx25,4,0,1,,,,1,1,1,1,,,,,1,0,,1,1,1.00,5,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Mar 4,home,Sequoias,L,10-8,10,8,2,win,20230304_4o1o,4,2,2,2,,,2,,,,,1,,,4,2,,2,,,5,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
Mar 7,home,Porterville,W,17-3,17,3,14,win,20230307_zs9m,4,1,2,,,1,4,1,1,1,,1,,,5,1,,,1,,6,2023,2022-23,Merced,merced,natesilvambef,Nate Silva
