date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Feb 5,home,Diablo Valley,L,4-3,4,3,1,win,20220205_n2fd,4,0,0,,,,0,,1,,,,,,0,0,1,1,2,0.50,4,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Feb 10,home,Marin,L,5-4,5,4,1,win,20220210_p9zg,2,0,1,,,,1,,,,,1,,,1,0,,,1,,3,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Feb 11,home,Laney,W,11-3,11,3,8,win,20220211_ic1o,2,0,0,,,,0,,2,,,,,,0,0,,,,,2,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Feb 12,home,Diablo Valley,L,10-9,10,9,1,win,20220212_dh0d,1,1,1,,,,0,,,,,,,,1,0,,,,,1,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Feb 15,home,Merced,L,4-3,4,3,1,win,20220215_tc1a,4,0,0,,,,0,,3,,,,,,0,0,,1,,,4,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Feb 24,home,Santa Rosa,L,4-3,4,3,1,win,20220224_s2g7,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Mar 8,home,De Anza,W,5-2,5,2,3,win,20220308_2ipi,0,0,0,,,,0,,,,,1,,,0,0,,,,,1,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Mar 10,home,De Anza,W,15-3,15,3,12,win,20220310_tphx,3,0,1,1,,,2,,,,,,,,2,1,,1,1,1.00,3,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Mar 22,home,Monterey Peninsula,L,6-1,6,1,5,win,20220322_to3u,1,0,1,1,,,0,,,,,,,,2,1,,,,,1,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Mar 31,home,San Mateo,W,3-2,3,2,1,win,20220331_b69a,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Apr 2,home,Skyline,W,7-3,7,3,4,win,20220402_h528,2,0,0,,,,0,,,,,,,,0,0,,1,1,1.00,2,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Apr 5,home,Ohlone,L,5-2,5,2,3,win,20220405_ml4x,2,0,0,,,,0,,,,,,,,0,0,,1,1,1.00,2,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Apr 7,home,De Anza,W,19-5,19,5,14,win,20220407_egdw,2,0,1,,,,0,,,,,,,,1,0,,1,,,2,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Apr 9,home,De Anza,W,14-5,14,5,9,win,20220409_otq9,2,0,0,,,,0,,,,,,,,0,0,,1,1,1.00,2,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Apr 19,home,Hartnell,W,9-2,9,2,7,win,20220419_823h,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
Apr 23,home,Monterey Peninsula,L,7-5,7,5,2,win,20220423_gaql,0,0,0,,,,0,,,,,1,,,0,0,,,,,1,2022,,Cabrillo,cabrillo,zachhester9ikc,Zach Hester
