date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 31,home,West Hills Coalinga,W,13-1,13,1,12,win,20230131_jckn,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Feb 2,home,Gavilan,W,11-0,11,0,11,win,20230202_lqsl,2,0,0,,,,0,,,,,,,,0,0,,1,,,2,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Feb 4,home,Gavilan,W,18-0,18,0,18,win,20230204_joaa,3,1,1,,,1,4,,,,,,,,4,1,,2,,,3,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Feb 7,home,Porterville,W,6-5,6,5,1,win,20230207_unnm,3,0,0,,,,0,1,1,,,,,,0,0,,1,1,1.00,4,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Feb 9,home,West Hills Coalinga,L,7-6,7,6,1,win,20230209_kd5y,1,0,1,,,,0,,,,,,,,1,0,,,,,1,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Feb 11,home,Porterville,W,15-7,15,7,8,win,20230211_z7pi,2,5,2,1,,,1,3,,,,,,,3,1,,,,,5,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Feb 16,home,West Valley,W,6-5,6,5,1,win,20230216_c95q,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Mar 1,home,American River,W,4-2,4,2,2,win,20230301_hynd,3,0,0,,,,0,1,2,,,,,,0,0,,,1,,4,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Mar 2,home,American River,L,13-2,13,2,11,win,20230302_gu74,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Mar 9,home,Reedley,L,16-5,16,5,11,win,20230309_nynj,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Mar 16,home,Santa Rosa,L,4-3,4,3,1,win,20230316_huse,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Mar 17,home,Santa Rosa,L,15-1,15,1,14,win,20230317_joaf,2,0,2,,,,0,1,,,,,,,2,0,,,,,3,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Mar 23,home,Folsom Lake,L,13-6,13,6,7,win,20230323_n1lg,3,1,1,,,,0,1,1,,,,,,1,0,,1,,,4,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Mar 24,home,Folsom Lake,W,6-3,6,3,3,win,20230324_53pp,4,0,1,,,,1,,1,,,,,,1,0,,1,1,1.00,4,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
Mar 25,home,Folsom Lake,L,3-2,3,2,1,win,20230325_me3p,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Modesto,modesto,aaronmartinez8ht9,Aaron Martinez
