date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 31,home,West Hills Coalinga,W,13-1,13,1,12,win,20230131_jckn,5,1,0,,,,0,,2,,,,,,0,0,,1,1,1.00,5,2023,2022-23,Modesto,modesto,trentprokes04ht,Trent Prokes
Feb 2,home,Gavilan,W,11-0,11,0,11,win,20230202_lqsl,4,2,2,1,,,1,1,,,,,,,3,1,,1,1,1.00,5,2023,2022-23,Modesto,modesto,trentprokes04ht,Trent Prokes
Feb 4,home,Gavilan,W,18-0,18,0,18,win,20230204_joaa,3,0,0,,,,0,,,,,,,,0,0,,2,1,2.00,3,2023,2022-23,Modesto,modesto,trentprokes04ht,Trent Prokes
Feb 7,home,Porterville,W,6-5,6,5,1,win,20230207_unnm,5,0,1,1,,,0,,,,,,,,2,1,,1,3,0.33,5,2023,2022-23,Modesto,modesto,trentprokes04ht,Trent Prokes
Feb 9,home,West Hills Coalinga,L,7-6,7,6,1,win,20230209_kd5y,5,0,0,,,,0,,3,,,,,,0,0,,1,1,1.00,5,2023,2022-23,Modesto,modesto,trentprokes04ht,Trent Prokes
Feb 16,home,West Valley,W,6-5,6,5,1,win,20230216_c95q,4,0,0,,,,2,,1,,,,1,,0,0,,,3,,5,2023,2022-23,Modesto,modesto,trentprokes04ht,Trent Prokes
Feb 17,home,West Valley,W,6-5,6,5,1,win,20230217_afwc,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Modesto,modesto,trentprokes04ht,Trent Prokes
Feb 22,home,Mission,L,7-6,7,6,1,win,20230222_eekp,2,0,1,,,,1,1,,,,,,,1,0,,1,,,3,2023,2022-23,Modesto,modesto,trentprokes04ht,Trent Prokes
Mar 3,home,American River,W,9-2,9,2,7,win,20230303_9j7f,3,2,1,,,,0,1,1,,,,,,1,0,,,1,,4,2023,2022-23,Modesto,modesto,trentprokes04ht,Trent Prokes
Mar 7,home,Reedley,L,22-8,22,8,14,win,20230307_im8l,3,0,2,,,,1,1,1,,,,,,2,0,,,,,4,2023,2022-23,Modesto,modesto,trentprokes04ht,Trent Prokes
Mar 9,home,Reedley,L,16-5,16,5,11,win,20230309_nynj,4,0,0,,,,0,,2,,,,,,0,0,,2,,,4,2023,2022-23,Modesto,modesto,trentprokes04ht,Trent Prokes
