date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Feb 3,home,Barstow,W,10-4,10,4,6,win,20120203_1oyz,3,1,0,,,,0,1,1,1,,,,,0,0,,1,,,4,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Feb 7,home,Barstow,L,5-3,5,3,2,win,20120207_ks6n,3,0,2,,,,2,,1,,,,,,2,0,,,,,3,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Feb 10,home,Mt. San Jacinto,W,9-4,9,4,5,win,20120210_fnn1,5,0,2,,,,1,,,,,,,,2,0,,2,1,2.00,5,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Feb 14,home,Compton,W,13-12,13,12,1,win,20120214_ra9v,4,0,1,,,,0,1,,,,,,,1,0,,1,2,0.50,5,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Feb 17,home,San Bernardino,L,7-5,7,5,2,win,20120217_efq5,4,0,1,,,,0,,1,,,,,,1,0,,,,,4,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Feb 21,home,West LA,W,8-2,8,2,6,win,20120221_ao5e,2,0,0,,,,2,,,,,1,1,,0,0,,,3,,4,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Feb 23,home,Compton,L,13-5,13,5,8,win,20120223_t30s,0,0,0,,,,0,,,,,1,,,0,0,,,,,1,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Feb 24,home,El Camino,L,16-3,16,3,13,win,20120224_dr3n,3,2,1,,,,0,,1,,,1,,,1,0,,,1,,4,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Feb 29,home,Palomar,L,7-5,7,5,2,win,20120229_rjkr,4,0,2,,,,0,,2,,,,,,2,0,,,,,4,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Mar 1,home,Grossmont,L,9-5,9,5,4,win,20120301_jxja,3,0,0,,,,0,,,,,1,,,0,0,,1,2,0.50,4,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Mar 3,home,Southwestern,W,10-4,10,4,6,win,20120303_lpob,4,0,1,,,,2,,1,1,,1,,,1,0,,2,,,5,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Mar 6,home,San Diego Mesa,L,4-3,4,3,1,win,20120306_og3e,4,0,0,,,,0,,,,,,,,0,0,,3,1,3.00,4,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Mar 8,home,San Diego City,L,12-5,12,5,7,win,20120308_yort,2,0,0,,,,0,1,,,,1,,,0,0,,2,,,4,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Mar 15,home,Palomar,W,4-1,4,1,3,win,20120315_0zzg,2,2,1,,,,0,,,,,,,1,1,0,,1,,,3,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Mar 15,home,Palomar,W,5-4,5,4,1,win,20120315_80wo,2,0,0,,,,1,,2,,,,,1,0,0,,1,,,3,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
Mar 20,home,Grossmont,W,11-10,11,10,1,win,20120320_zek0,2,0,0,,,,0,,,,,,,,0,0,,1,1,1.00,2,2012,2011-12,Imperial Valley,imperialvalley,trevorrobinsonssoj,Trevor Robinson
