date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 26,home,Hartnell,L,4-3,4,3,1,win,20180126_4hxk,0,0,0,,,,0,,,,1,,,,0,0,,,,,0,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Jan 27,home,Laney,L,7-4,7,4,3,win,20180127_gy87,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Jan 30,home,Laney,W,9-6,9,6,3,win,20180130_x7r9,2,1,1,,,,1,2,,,,,,,1,0,,1,,,4,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 1,home,Monterey Peninsula,L,8-3,8,3,5,win,20180201_aehy,3,0,0,,,,0,,1,,,,,1,0,0,,1,2,0.50,4,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 3,home,Gavilan,W,9-5,9,5,4,win,20180203_yv3b,3,1,0,,,,0,1,1,,,,,1,0,0,,3,,,5,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 4,home,Redwoods,L,6-0,6,0,6,win,20180204_br6w,3,0,1,,,,0,1,,,,,,,1,0,,1,1,1.00,4,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 9,home,Siskiyous,L,6-5,6,5,1,win,20180209_7btn,3,1,1,,,,0,,,1,,1,,,1,0,,1,1,1.00,4,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 10,home,Siskiyous,W,2-1,2,1,1,win,20180210_mf48,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 10,home,Siskiyous,L,5-2,5,2,3,win,20180210_skg8,2,0,0,,,,0,,,,,,,,0,0,,2,,,2,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 13,home,Napa Valley,L,12-7,12,7,5,win,20180213_8csr,0,0,0,,,,0,,,,,1,,1,0,0,,1,,,2,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 15,home,Contra Costa,W,11-8,11,8,3,win,20180215_2zby,3,1,2,,,,2,,,1,,,,1,2,0,,2,,,4,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 19,home,Canada,L,7-3,7,3,4,win,20180219_lf35,2,0,0,,,,0,,1,,,,,,0,0,,1,,,2,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 21,home,Gavilan,L,6-5,6,5,1,win,20180221_8uz7,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 26,home,Contra Costa,L,7-2,7,2,5,win,20180226_nv1g,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Feb 27,home,Canada,L,5-3,5,3,2,win,,,,,,,,,,,,,,,,,,,,,,,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 3,home,Hartnell,L,10-3,10,3,7,win,20180303_84c5,1,0,1,,,,1,,,,,,,,1,0,,,,,1,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 6,home,De Anza,W,9-0,9,0,9,win,,,,,,,,,,,,,,,,,,,,,,,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 8,home,De Anza,L,14-4,14,4,10,win,20180308_9d67,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 10,home,Chabot,L,6-4,6,4,2,win,20180310_rwp9,1,0,0,,,,1,2,,,,,,,0,0,,1,,,3,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 14,home,Chabot,L,10-4,10,4,6,win,20180314_07r4,2,0,0,,,,0,1,,,,,,,0,0,,2,,,3,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 18,home,Mission,W,9-3,9,3,6,win,,,,,,,,,,,,,,,,,,,,,,,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 19,home,San Mateo,L,3-1,3,1,2,win,,,,,,,,,,,,,,,,,,,,,,,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 22,home,San Mateo,L,18-5,18,5,13,win,20180322_23le,2,0,0,,,,0,2,,,,,,,0,0,,2,,,4,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 24,home,West Valley,W,2-1,2,1,1,win,,,,,,,,,,,,,,,,,,,,,,,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 26,home,Mission,L,11-3,11,3,8,win,20180326_375t,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 28,home,Skyline,W,6-2,6,2,4,win,,,,,,,,,,,,,,,,,,,,,,,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 29,home,Cabrillo,L,7-1,7,1,6,win,20180329_557t,3,0,1,,,,0,,,1,,,,,1,0,,1,1,1.00,3,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Mar 31,home,Ohlone,W,4-3,4,3,1,win,20180331_des1,3,0,1,,,,0,,1,2,,,,,1,0,,1,,,3,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 3,home,West Valley,L,5-3,5,3,2,win,20180403_ymfa,4,0,2,1,,,0,,,,,,,,3,1,,2,,,4,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 5,home,De Anza,L,7-6,7,6,1,win,20180405_a9rb,3,0,0,,,,0,,,,,,,,0,0,,1,2,0.50,3,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 7,home,De Anza,L,5-4,5,4,1,win,20180407_tkhl,3,0,0,,,,0,,,,,,,,0,0,,3,,,3,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 10,home,Chabot,L,11-0,11,0,11,win,20180410_sfi0,2,0,0,,,,0,,1,,,,,1,0,0,,1,1,1.00,3,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 12,home,Chabot,L,4-0,4,0,4,win,20180412_lnix,2,0,0,,,,0,,1,,,,,,0,0,,1,,,2,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 14,home,Mission,L,8-6,8,6,2,win,20180414_ur57,4,1,3,,,,1,,,,,,,,3,0,,,1,,4,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 17,home,Mission,L,16-12,16,12,4,win,20180417_mlzs,5,1,2,,,,0,,,3,,,,,2,0,,2,,,5,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 19,home,San Mateo,L,13-5,13,5,8,win,20180419_ykow,4,0,1,,,,1,,1,,,,,,1,0,,2,,,4,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 21,home,San Mateo,W,6-4,6,4,2,win,20180421_a3t5,3,0,0,,,,0,,,,,,,1,0,0,,3,1,3.00,4,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 24,home,West Valley,L,5-3,5,3,2,win,,,,,,,,,,,,,,,,,,,,,,,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 26,home,West Valley,L,11-1,11,1,10,win,20180426_8fgw,3,0,0,,,,0,,,,,,,,0,0,,2,1,2.00,3,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
Apr 28,home,Monterey Peninsula,L,8-7,8,7,1,win,20180428_ygev,1,1,0,,,,0,,,,,,,,0,0,,,1,,1,2018,,San Francisco,sanfrancisco,jonathavazquezyyee,Jonatha Vazquez
