date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Mar 21,home,San Joaquin  Delta,L,5-4,5,4,1,win,,,,,,,,,,,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Mar 19,home,San Joaquin  Delta,L,10-1,10,1,9,win,20150319_c7n5,0,0,0,0,1.0,1,0,0,0.00,0,0,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Mar 17,home,San Joaquin  Delta,L,8-5,8,5,3,win,,,,,,,,,,,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Mar 14,home,Sacramento City,L,13-5,13,5,8,win,20150314_ts1b,0,0,0,0,0.0,,,,0.00,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Mar 12,home,Sacramento City,W,12-1,12,1,11,win,20150312_u2ru,0,0,0,0,0.0,2,1,1,INF,2,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Mar 10,home,Sacramento City,W,2-1,2,1,1,win,,,,,,,,,,,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Mar 6,home,Diablo Valley,W,4-3,4,3,1,win,,,,,,,,,,,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Mar 5,home,Cosumnes River,L,8-2,8,2,6,win,20150305_ud0a,0,0,0,0,1.0,,,,0.00,,1,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Mar 3,home,Modesto,W,2-1,2,1,1,win,,,,,,,,,,,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Feb 26,home,Diablo Valley,L,6-4,6,4,2,win,20150226_736p,0,0,0,0,0.0,,,,0.00,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Feb 24,home,Solano,W,9-7,9,7,2,win,20150224_736l,0,0,0,0,0.0,,,,0.00,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Feb 21,home,Laney,W,10-4,10,4,6,win,,,,,,,,,,,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Feb 18,home,Shasta,W,17-6,17,6,11,win,,,,,,,,,,,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Feb 17,home,Mission,W,10-0,10,0,10,win,20150217_ngr8,0,0,0,0,0.0,,,,0.00,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Feb 14,home,Hartnell,L,12-1,12,1,11,win,20150214_v1lx,0,0,0,0,1.0,4,2,2,18.00,1,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Feb 13,home,Hartnell,L,10-6,10,6,4,win,,,,,,,,,,,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Feb 10,home,Solano,W,7-4,7,4,3,win,20150210_9wuy,0,0,0,0,0.0,,,,0.00,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Feb 5,home,Feather River,L,9-3,9,3,6,win,20150205_psel,1,0,1,0,0.1,2,5,5,135.00,3,0,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Feb 4,home,Shasta,W,9-1,9,1,8,win,,,,,,,,,,,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Jan 31,home,West Valley,L,19-11,19,11,8,win,20150131_b3g7,0,0,0,0,4.1,4,5,4,8.31,6,2,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
Jan 29,home,West Valley,L,9-5,9,5,4,win,,,,,,,,,,,,,,2015,,American River,americanriver,andrewfuentestgem,Andrew Fuentes
